Link,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2016 (est.),2017 (est.),2018 (est.),2019 (est.),2020 (est.),County,State
"https://en.wikipedia.org/wiki/Pickens_County,_Alabama",,,,,"6,622","17,118","21,512","22,316","17,690","21,479","22,470","24,402","25,055","25,353","24,902","27,671","24,349","21,882","20,326","21,481","20,699","20,949","19,746",,,,"19,930",,Pickens County, Alabama
"https://en.wikipedia.org/wiki/Pike_County,_Alabama",,,,,"7,108","10,108","15,920","24,435","17,423","20,640","24,423","29,172","30,815","31,631","32,240","32,493","30,608","25,987","25,038","28,050","27,595","29,605","32,899",,,,"33,114",,Pike County, Alabama
"https://en.wikipedia.org/wiki/Randolph_County,_Alabama",,,,,,"4,973","11,581","20,059","12,006","16,575","17,219","21,647","24,659","27,064","26,861","25,516","22,513","19,477","18,331","20,075","19,881","22,380","22,913",,,,"22,722",,Randolph County, Alabama
"https://en.wikipedia.org/wiki/Russell_County,_Alabama",,,,,,"13,513","19,548","26,592","21,636","24,837","24,093","27,083","25,937","27,448","27,377","35,775","40,364","46,351","45,394","47,356","46,860","49,756","52,947",,,,"57,961",,Russell County, Alabama
"https://en.wikipedia.org/wiki/St._Clair_County,_Alabama",,,,"4,166","5,975","5,638","6,829","11,013","9,360","14,462","17,353","19,425","20,715","23,383","24,510","27,336","26,687","25,388","27,956","41,205","50,009","64,742","83,593",,,,"89,512",,St. Clair County, Alabama
"https://en.wikipedia.org/wiki/Shelby_County,_Alabama",,,,"2,416","5,704","6,112","9,536","12,618","12,218","17,236","20,886","23,684","26,949","27,097","27,576","28,962","30,362","32,132","38,037","66,298","99,358","143,293","195,085",,,,"217,702",,Shelby County, Alabama
"https://en.wikipedia.org/wiki/Sumter_County,_Alabama",,,,,,"29,937","22,250","24,035","24,109","28,728","29,574","32,710","28,699","25,569","26,929","27,321","23,610","20,041","16,974","16,908","16,174","14,798","13,763",,,,"12,427",,Sumter County, Alabama
"https://en.wikipedia.org/wiki/Talladega_County,_Alabama",,,,,,"12,587","18,624","23,520","18,064","23,360","29,346","35,773","37,921","41,005","45,241","51,832","63,639","65,495","65,280","73,826","74,107","80,321","82,291",,,,"79,978",,Talladega County, Alabama
"https://en.wikipedia.org/wiki/Tallapoosa_County,_Alabama",,,,,,"6,444","15,584","23,827","16,963","23,401","25,460","29,675","31,034","29,744","31,188","35,270","35,074","35,007","33,840","38,766","38,826","41,475","41,616",,,,"40,367",,Tallapoosa County, Alabama
"https://en.wikipedia.org/wiki/Tuscaloosa_County,_Alabama",,,,"8,229","13,646","16,583","18,056","23,200","20,081","24,957","30,352","36,147","47,559","53,680","64,153","76,036","94,092","109,047","116,029","137,541","150,522","164,875","194,656",,,,"209,355",,Tuscaloosa County, Alabama
"https://en.wikipedia.org/wiki/Walker_County,_Alabama",,,,,"2,202","4,032","5,124","7,980","6,543","9,479","16,078","25,162","37,013","50,593","59,445","64,201","63,769","54,211","56,246","68,660","67,670","70,713","67,023",,,,"63,521",,Walker County, Alabama
"https://en.wikipedia.org/wiki/Washington_County,_Alabama",,"1,250","2,920","4,118","3,474","5,300","2,713","4,669","3,912","4,538","7,935","11,134","14,454","14,279","16,365","16,188","15,612","15,372","16,241","16,821","16,694","18,097","17,581",,,,"16,326",,Washington County, Alabama
"https://en.wikipedia.org/wiki/Wilcox_County,_Alabama",,,,"2,917","9,548","15,278","17,352","24,618","28,377","31,828","30,816","35,631","33,810","31,080","24,880","26,279","23,476","18,739","16,303","14,755","13,568","13,183","11,670",,,,"10,373",,Wilcox County, Alabama
"https://en.wikipedia.org/wiki/Winston_County,_Alabama",,,,,,,"1,542","3,576","4,155","4,253","6,552","9,554","12,855","14,378","15,596","18,746","18,250","14,858","16,654","21,953","22,053","24,843","24,484",,,,"23,629",,Winston County, Alabama
"https://en.wikipedia.org/wiki/Apache_County,_Arizona",,,,,,,,,,"5,283","4,281","8,297","9,196","13,196","17,765","24,095","27,767","30,438","32,298","52,108","61,591","69,423","71,518",,,,"71,887",,Apache County, Arizona
"https://en.wikipedia.org/wiki/Cochise_County,_Arizona",,,,,,,,,,,"6,938","9,251","34,591","46,465","40,998","34,627","31,488","55,039","61,910","85,686","97,624","117,755","131,346",,,,"125,922",,Cochise County, Arizona
"https://en.wikipedia.org/wiki/Coconino_County,_Arizona",,,,,,,,,,,,"5,514","8,130","9,982","14,064","18,770","23,910","41,857","48,326","75,008","96,591","116,320","134,421",,,,"143,476",,Coconino County, Arizona
"https://en.wikipedia.org/wiki/Gila_County,_Arizona",,,,,,,,,,,"2,021","4,973","16,348","25,678","31,016","23,867","24,158","25,745","29,255","37,080","40,216","51,335","53,597",,,,"54,018",,Gila County, Arizona
"https://en.wikipedia.org/wiki/Graham_County,_Arizona",,,,,,,,,,,"5,670","14,162","23,999","10,148","10,373","12,113","12,985","14,045","16,578","22,862","26,554","33,489","37,220",,,,"38,837",,Graham County, Arizona
"https://en.wikipedia.org/wiki/Greenlee_County,_Arizona",,,,,,,,,,,,,,"15,362","9,886","8,698","12,805","11,509","10,330","11,406","8,008","8,547","8,437",,,,"9,498",,Greenlee County, Arizona
"https://en.wikipedia.org/wiki/La_Paz_County,_Arizona",,,,,,,,,,,,,,,,,,,,,"13,844","19,715","20,489",,,,"21,108",,La Paz County, Arizona
"https://en.wikipedia.org/wiki/Maricopa_County,_Arizona",,,,,,,,,,"5,689","10,986","20,457","34,488","89,576","150,970","186,193","331,770","663,510","971,228","1,509,175","2,122,101","3,072,149","3,817,117",,,,"4,485,414",,Maricopa County, Arizona
"https://en.wikipedia.org/wiki/Mohave_County,_Arizona",,,,,,,,,179,"1,190","1,444","3,426","3,773","5,259","5,572","8,591","8,510","7,736","25,857","55,865","93,497","155,032","200,186",,,,"212,181",,Mohave County, Arizona
"https://en.wikipedia.org/wiki/Navajo_County,_Arizona",,,,,,,,,,,,"8,829","11,471","16,077","21,202","25,309","29,446","37,994","47,715","67,629","77,658","97,470","107,449",,,,"110,924",,Navajo County, Arizona
"https://en.wikipedia.org/wiki/Pima_County,_Arizona",,,,,,,,,"5,716","17,006","12,673","14,689","22,818","34,680","55,676","72,838","141,216","265,660","351,667","531,443","666,880","843,746","980,263",,,,"1,047,279",,Pima County, Arizona
"https://en.wikipedia.org/wiki/Pinal_County,_Arizona",,,,,,,,,,"3,044","4,251","7,779","9,045","16,130","22,081","28,841","43,191","62,673","67,916","90,918","116,379","179,727","375,770",,,,"462,789",,Pinal County, Arizona
"https://en.wikipedia.org/wiki/Santa_Cruz_County,_Arizona",,,,,,,,,,,,"4,545","6,766","12,689","9,684","9,482","9,417","10,808","13,966","20,459","29,676","38,381","47,420",,,,"46,498",,Santa Cruz County, Arizona
