Year,State,Census population
1940,United States,131669275
1950,United States,150697361
1960,Alabama,3266740
1970,Alabama,3444165
1980,Alabama,3893888
1990,Alabama,4040587
2000,Alabama,4447100
2010,Alabama,4779736
1960,Alaska,226167
1970,Alaska,300382
1980,Alaska,401851
1990,Alaska,550043
2000,Alaska,626932
2010,Alaska,710231
1960,American Samoa,20051
1970,American Samoa,27159
1980,American Samoa,32297
1990,American Samoa,46773
2000,American Samoa,57291
2010,American Samoa,55519
1960,Arizona,1302161
1970,Arizona,1770900
1980,Arizona,2718215
1990,Arizona,3665228
2000,Arizona,5130632
2010,Arizona,6392017
1960,Arkansas,1786272
1970,Arkansas,1923295
1980,Arkansas,2286435
1990,Arkansas,2350725
2000,Arkansas,2673400
2010,Arkansas,2915918
1960,California,15717204
1970,California,19953134
1980,California,23667902
1990,California,29760021
2000,California,33871648
2010,California,37253956
1960,Colorado,1753947
1970,Colorado,2207259
1980,Colorado,2889964
1990,Colorado,3294394
2000,Colorado,4301261
2010,Colorado,5029196
1960,Connecticut,2535234
1970,Connecticut,3031709
1980,Connecticut,3107576
1990,Connecticut,3287116
2000,Connecticut,3405565
2010,Connecticut,3574097
1960,Delaware,446292
1970,Delaware,548104
1980,Delaware,594338
1990,Delaware,666168
2000,Delaware,783600
2010,Delaware,897934
1960,"Washington, D.C.",763956
1970,"Washington, D.C.",756510
1980,"Washington, D.C.",638333
1990,"Washington, D.C.",606900
2000,"Washington, D.C.",572059
2010,"Washington, D.C.",601723
1960,Florida,4951560
1970,Florida,6789443
1980,Florida,9746324
1990,Florida,12937926
2000,Florida,15982378
2010,Florida,18801310
1960,Georgia (U.S. state),3943116
1970,Georgia (U.S. state),4589575
1980,Georgia (U.S. state),5463105
1990,Georgia (U.S. state),6478216
2000,Georgia (U.S. state),8186453
2010,Georgia (U.S. state),9687653
1960,Guam,67044
1970,Guam,84966
1980,Guam,105979
1990,Guam,133152
2000,Guam,154805
2010,Guam,159358
1960,Hawaii,632772
1970,Hawaii,768561
1980,Hawaii,964691
1990,Hawaii,1108229
2000,Hawaii,1211537
2010,Hawaii,1360301
1960,Idaho,667191
1970,Idaho,712567
1980,Idaho,943935
1990,Idaho,1006749
2000,Idaho,1293953
2010,Idaho,1567582
1960,Illinois,10081158
1970,Illinois,11113976
1980,Illinois,11426518
1990,Illinois,11430602
2000,Illinois,12419293
2010,Illinois,12830632
1960,Indiana,4662498
1970,Indiana,5193669
1980,Indiana,5490224
1990,Indiana,5544159
2000,Indiana,6080485
2010,Indiana,6483802
1960,Iowa,2757537
1970,Iowa,2824376
1980,Iowa,2913808
1990,Iowa,2776755
2000,Iowa,2926324
2010,Iowa,3046355
1960,Kansas,2178611
1970,Kansas,2246578
1980,Kansas,2363679
1990,Kansas,2477574
2000,Kansas,2688418
2010,Kansas,2853118
1960,Kentucky,3038156
1970,Kentucky,3218706
1980,Kentucky,3660777
1990,Kentucky,3685296
2000,Kentucky,4041769
2010,Kentucky,4339367
1960,Louisiana,3257022
1970,Louisiana,3641306
1980,Louisiana,4205900
1990,Louisiana,4219973
2000,Louisiana,4468976
2010,Louisiana,4533372
1960,Maine,969265
1970,Maine,992048
1980,Maine,1124660
1990,Maine,1227928
2000,Maine,1274923
2010,Maine,1328361
1960,Maryland,3100689
1970,Maryland,3922399
1980,Maryland,4216975
1990,Maryland,4781468
2000,Maryland,5296486
2010,Maryland,5773552
1960,Massachusetts,5148578
1970,Massachusetts,5689170
1980,Massachusetts,5737037
1990,Massachusetts,6016425
2000,Massachusetts,6349097
2010,Massachusetts,6547629
