Year,Electoral college vote count,State,Census year reference,Census population
2008,6,Kansas,2000,2688418
2012,6,Kansas,2010,2853118
2016,6,Kansas,2010,2853118
2020,6,Kansas,2010,2853118
1792,4,Kentucky,1790,73677
1796,4,Kentucky,1790,73677
1800,4,Kentucky,1790,73677
1804,8,Kentucky,1800,220959
1808,8,Kentucky,1800,220959
1812,12,Kentucky,1810,406511
1816,12,Kentucky,1810,406511
1820,12,Kentucky,1810,406511
1824,14,Kentucky,1820,564317
1828,14,Kentucky,1820,564317
1832,15,Kentucky,1830,687917
1836,15,Kentucky,1830,687917
1840,15,Kentucky,1830,687917
1844,12,Kentucky,1840,779828
1848,12,Kentucky,1840,779828
1852,12,Kentucky,1850,982405
1856,12,Kentucky,1850,982405
1860,12,Kentucky,1850,982405
1864,11,Kentucky,1860,1155684
1868,11,Kentucky,1860,1155684
1872,12,Kentucky,1870,1321011
1876,12,Kentucky,1870,1321011
1880,12,Kentucky,1870,1321011
1884,13,Kentucky,1880,1648690
1888,13,Kentucky,1880,1648690
1892,13,Kentucky,1890,1858635
1896,13,Kentucky,1890,1858635
1900,13,Kentucky,1890,1858635
1904,13,Kentucky,1900,2147174
1908,13,Kentucky,1900,2147174
1912,13,Kentucky,1910,2289905
1916,13,Kentucky,1910,2289905
1920,13,Kentucky,1910,2289905
1924,13,Kentucky,1920,2416630
1928,13,Kentucky,1920,2416630
1932,11,Kentucky,1930,2614589
1936,11,Kentucky,1930,2614589
1940,11,Kentucky,1930,2614589
1944,11,Kentucky,1940,2845627
1948,11,Kentucky,1940,2845627
1952,10,Kentucky,1950,2944806
1956,10,Kentucky,1950,2944806
1960,10,Kentucky,1950,2944806
1964,9,Kentucky,1960,3038156
1968,9,Kentucky,1960,3038156
1972,9,Kentucky,1970,3218706
1976,9,Kentucky,1970,3218706
1980,9,Kentucky,1970,3218706
1984,9,Kentucky,1980,3660777
1988,9,Kentucky,1980,3660777
1992,8,Kentucky,1990,3685296
1996,8,Kentucky,1990,3685296
2000,8,Kentucky,1990,3685296
2004,8,Kentucky,2000,4041769
2008,8,Kentucky,2000,4041769
2012,8,Kentucky,2010,4339367
2016,8,Kentucky,2010,4339367
2020,8,Kentucky,2010,4339367
1792,0,Louisiana,1790,0
1796,0,Louisiana,1790,0
1800,0,Louisiana,1790,0
1804,0,Louisiana,1800,0
1808,0,Louisiana,1800,0
1812,3,Louisiana,1810,76556
1816,3,Louisiana,1810,76556
1820,3,Louisiana,1810,76556
1824,5,Louisiana,1820,153407
1828,5,Louisiana,1820,153407
1832,5,Louisiana,1830,215739
1836,5,Louisiana,1830,215739
1840,5,Louisiana,1830,215739
1844,6,Louisiana,1840,352411
1848,6,Louisiana,1840,352411
1852,6,Louisiana,1850,517762
1856,6,Louisiana,1850,517762
1860,6,Louisiana,1850,517762
1864,0,Louisiana,1860,708002
1868,7,Louisiana,1860,708002
1872,8,Louisiana,1870,726915
1876,8,Louisiana,1870,726915
1880,8,Louisiana,1870,726915
1884,8,Louisiana,1880,939946
1888,8,Louisiana,1880,939946
1892,8,Louisiana,1890,1118587
1896,8,Louisiana,1890,1118587
1900,8,Louisiana,1890,1118587
1904,9,Louisiana,1900,1381625
1908,9,Louisiana,1900,1381625
1912,10,Louisiana,1910,1656388
1916,10,Louisiana,1910,1656388
1920,10,Louisiana,1910,1656388
1924,10,Louisiana,1920,1798509
1928,10,Louisiana,1920,1798509
1932,10,Louisiana,1930,2101593
1936,10,Louisiana,1930,2101593
1940,10,Louisiana,1930,2101593
1944,10,Louisiana,1940,2363880
1948,10,Louisiana,1940,2363880
1952,10,Louisiana,1950,2683516
1956,10,Louisiana,1950,2683516
1960,10,Louisiana,1950,2683516
1964,10,Louisiana,1960,3257022
1968,10,Louisiana,1960,3257022
1972,10,Louisiana,1970,3641306
1976,10,Louisiana,1970,3641306
1980,10,Louisiana,1970,3641306
1984,10,Louisiana,1980,4205900
1988,10,Louisiana,1980,4205900
1992,9,Louisiana,1990,4219973
1996,9,Louisiana,1990,4219973
2000,9,Louisiana,1990,4219973
2004,9,Louisiana,2000,4468976
2008,9,Louisiana,2000,4468976
2012,8,Louisiana,2010,4533372
2016,8,Louisiana,2010,4533372
2020,8,Louisiana,2010,4533372
1792,0,Maine,1790,96540
1796,0,Maine,1790,96540
1800,0,Maine,1790,96540
1804,0,Maine,1800,151719
1808,0,Maine,1800,151719
1812,0,Maine,1810,228705
1816,0,Maine,1810,228705
1820,9,Maine,1810,228705
1824,9,Maine,1820,298335
1828,9,Maine,1820,298335
1832,10,Maine,1830,399455
1836,10,Maine,1830,399455
1840,10,Maine,1830,399455
1844,9,Maine,1840,501793
1848,9,Maine,1840,501793
1852,8,Maine,1850,583169
1856,8,Maine,1850,583169
1860,8,Maine,1850,583169
1864,7,Maine,1860,628279
1868,7,Maine,1860,628279
1872,7,Maine,1870,626915
1876,7,Maine,1870,626915
1880,7,Maine,1870,626915
1884,6,Maine,1880,648936
1888,6,Maine,1880,648936
1892,6,Maine,1890,661086
1896,6,Maine,1890,661086
1900,6,Maine,1890,661086
1904,6,Maine,1900,694466
1908,6,Maine,1900,694466
1912,6,Maine,1910,742371
1916,6,Maine,1910,742371
1920,6,Maine,1910,742371
1924,6,Maine,1920,768014
1928,6,Maine,1920,768014
1932,5,Maine,1930,797423
1936,5,Maine,1930,797423
1940,5,Maine,1930,797423
1944,5,Maine,1940,847226
1948,5,Maine,1940,847226
1952,5,Maine,1950,913774
1956,5,Maine,1950,913774
1960,5,Maine,1950,913774
1964,4,Maine,1960,969265
1968,4,Maine,1960,969265
1972,4,Maine,1970,992048
1976,4,Maine,1970,992048
1980,4,Maine,1970,992048
1984,4,Maine,1980,1124660
1988,4,Maine,1980,1124660
1992,4,Maine,1990,1227928
1996,4,Maine,1990,1227928
2000,4,Maine,1990,1227928
2004,4,Maine,2000,1274923
2008,4,Maine,2000,1274923
2012,4,Maine,2010,1328361
2016,4,Maine,2010,1328361
2020,4,Maine,2010,1328361
1792,10,Maryland,1790,319728
1796,10,Maryland,1790,319728
1800,10,Maryland,1790,319728
1804,11,Maryland,1800,341548
1808,11,Maryland,1800,341548
1812,11,Maryland,1810,380546
1816,11,Maryland,1810,380546
1820,11,Maryland,1810,380546
1824,11,Maryland,1820,407350
1828,11,Maryland,1820,407350
1832,10,Maryland,1830,447040
1836,10,Maryland,1830,447040
1840,10,Maryland,1830,447040
1844,8,Maryland,1840,470019
1848,8,Maryland,1840,470019
1852,8,Maryland,1850,583034
1856,8,Maryland,1850,583034
1860,8,Maryland,1850,583034
1864,7,Maryland,1860,687049
1868,7,Maryland,1860,687049
1872,8,Maryland,1870,780894
1876,8,Maryland,1870,780894
1880,8,Maryland,1870,780894
1884,8,Maryland,1880,934943
1888,8,Maryland,1880,934943
1892,8,Maryland,1890,1042390
1896,8,Maryland,1890,1042390
1900,8,Maryland,1890,1042390
1904,8,Maryland,1900,1188044
1908,8,Maryland,1900,1188044
1912,8,Maryland,1910,1295346
1916,8,Maryland,1910,1295346
1920,8,Maryland,1910,1295346
1924,8,Maryland,1920,1449661
1928,8,Maryland,1920,1449661
1932,8,Maryland,1930,1631526
1936,8,Maryland,1930,1631526
1940,8,Maryland,1930,1631526
1944,8,Maryland,1940,1821244
1948,8,Maryland,1940,1821244
1952,9,Maryland,1950,2343001
1956,9,Maryland,1950,2343001
1960,9,Maryland,1950,2343001
1964,10,Maryland,1960,3100689
1968,10,Maryland,1960,3100689
1972,10,Maryland,1970,3922399
1976,10,Maryland,1970,3922399
1980,10,Maryland,1970,3922399
1984,10,Maryland,1980,4216975
1988,10,Maryland,1980,4216975
1992,10,Maryland,1990,4781468
1996,10,Maryland,1990,4781468
2000,10,Maryland,1990,4781468
2004,10,Maryland,2000,5296486
2008,10,Maryland,2000,5296486
2012,10,Maryland,2010,5773552
2016,10,Maryland,2010,5773552
2020,10,Maryland,2010,5773552
1792,16,Massachusetts,1790,378787
1796,16,Massachusetts,1790,378787
1800,16,Massachusetts,1790,378787
1804,19,Massachusetts,1800,422845
1808,19,Massachusetts,1800,422845
1812,22,Massachusetts,1810,472040
1816,22,Massachusetts,1810,472040
1820,15,Massachusetts,1810,472040
1824,15,Massachusetts,1820,523287
1828,15,Massachusetts,1820,523287
1832,14,Massachusetts,1830,610408
1836,14,Massachusetts,1830,610408
1840,14,Massachusetts,1830,610408
1844,12,Massachusetts,1840,737699
1848,12,Massachusetts,1840,737699
1852,13,Massachusetts,1850,994514
1856,13,Massachusetts,1850,994514
1860,13,Massachusetts,1850,994514
1864,12,Massachusetts,1860,1231066
1868,12,Massachusetts,1860,1231066
1872,13,Massachusetts,1870,1457351
1876,13,Massachusetts,1870,1457351
1880,13,Massachusetts,1870,1457351
1884,14,Massachusetts,1880,1783085
1888,14,Massachusetts,1880,1783085
1892,15,Massachusetts,1890,2238943
1896,15,Massachusetts,1890,2238943
1900,15,Massachusetts,1890,2238943
1904,16,Massachusetts,1900,2805346
1908,16,Massachusetts,1900,2805346
1912,18,Massachusetts,1910,3366416
1916,18,Massachusetts,1910,3366416
1920,18,Massachusetts,1910,3366416
1924,18,Massachusetts,1920,3852356
1928,18,Massachusetts,1920,3852356
1932,17,Massachusetts,1930,4249614
1936,17,Massachusetts,1930,4249614
1940,17,Massachusetts,1930,4249614
1944,16,Massachusetts,1940,4316721
1948,16,Massachusetts,1940,4316721
1952,16,Massachusetts,1950,4690514
1956,16,Massachusetts,1950,4690514
1960,16,Massachusetts,1950,4690514
1964,14,Massachusetts,1960,5148578
1968,14,Massachusetts,1960,5148578
1972,14,Massachusetts,1970,5689170
1976,14,Massachusetts,1970,5689170
1980,14,Massachusetts,1970,5689170
1984,13,Massachusetts,1980,5737037
1988,13,Massachusetts,1980,5737037
1992,12,Massachusetts,1990,6016425
1996,12,Massachusetts,1990,6016425
2000,12,Massachusetts,1990,6016425
2004,12,Massachusetts,2000,6349097
2008,12,Massachusetts,2000,6349097
2012,11,Massachusetts,2010,6547629
2016,11,Massachusetts,2010,6547629
2020,11,Massachusetts,2010,6547629
1792,0,Michigan,1790,0
1796,0,Michigan,1790,0
1800,0,Michigan,1790,0
1804,0,Michigan,1800,3757
1808,0,Michigan,1800,3757
1812,0,Michigan,1810,4762
1816,0,Michigan,1810,4762
1820,0,Michigan,1810,4762
1824,0,Michigan,1820,7452
1828,0,Michigan,1820,7452
1832,0,Michigan,1830,28004
1836,3,Michigan,1830,28004
1840,3,Michigan,1830,28004
1844,5,Michigan,1840,212267
1848,5,Michigan,1840,212267
1852,6,Michigan,1850,397654
1856,6,Michigan,1850,397654
1860,6,Michigan,1850,397654
1864,8,Michigan,1860,749113
1868,8,Michigan,1860,749113
1872,11,Michigan,1870,1184059
1876,11,Michigan,1870,1184059
1880,11,Michigan,1870,1184059
1884,13,Michigan,1880,1636937
1888,13,Michigan,1880,1636937
1892,14,Michigan,1890,2093889
1896,14,Michigan,1890,2093889
1900,14,Michigan,1890,2093889
1904,14,Michigan,1900,2420982
1908,14,Michigan,1900,2420982
1912,15,Michigan,1910,2810173
1916,15,Michigan,1910,2810173
1920,15,Michigan,1910,2810173
1924,15,Michigan,1920,3668412
1928,15,Michigan,1920,3668412
1932,19,Michigan,1930,4842325
1936,19,Michigan,1930,4842325
1940,19,Michigan,1930,4842325
1944,19,Michigan,1940,5256106
1948,19,Michigan,1940,5256106
1952,20,Michigan,1950,6371766
1956,20,Michigan,1950,6371766
1960,20,Michigan,1950,6371766
1964,21,Michigan,1960,7823194
1968,21,Michigan,1960,7823194
1972,21,Michigan,1970,8875083
1976,21,Michigan,1970,8875083
1980,21,Michigan,1970,8875083
1984,20,Michigan,1980,9262078
1988,20,Michigan,1980,9262078
1992,18,Michigan,1990,9295297
1996,18,Michigan,1990,9295297
2000,18,Michigan,1990,9295297
2004,17,Michigan,2000,9938444
2008,17,Michigan,2000,9938444
2012,16,Michigan,2010,9883640
2016,16,Michigan,2010,9883640
2020,16,Michigan,2010,9883640
1792,0,Minnesota,1790,0
1796,0,Minnesota,1790,0
1800,0,Minnesota,1790,0
1804,0,Minnesota,1800,0
1808,0,Minnesota,1800,0
1812,0,Minnesota,1810,0
1816,0,Minnesota,1810,0
1820,0,Minnesota,1810,0
1824,0,Minnesota,1820,0
1828,0,Minnesota,1820,0
1832,0,Minnesota,1830,0
1836,0,Minnesota,1830,0
1840,0,Minnesota,1830,0
1844,0,Minnesota,1840,0
1848,0,Minnesota,1840,0
1852,0,Minnesota,1850,6077
1856,0,Minnesota,1850,6077
1860,4,Minnesota,1850,6077
1864,4,Minnesota,1860,172023
1868,4,Minnesota,1860,172023
1872,5,Minnesota,1870,439706
1876,5,Minnesota,1870,439706
1880,5,Minnesota,1870,439706
1884,7,Minnesota,1880,780773
1888,7,Minnesota,1880,780773
1892,9,Minnesota,1890,1310283
1896,9,Minnesota,1890,1310283
1900,9,Minnesota,1890,1310283
1904,11,Minnesota,1900,1751394
1908,11,Minnesota,1900,1751394
1912,12,Minnesota,1910,2075708
1916,12,Minnesota,1910,2075708
1920,12,Minnesota,1910,2075708
1924,12,Minnesota,1920,2387125
1928,12,Minnesota,1920,2387125
1932,11,Minnesota,1930,2563953
1936,11,Minnesota,1930,2563953
1940,11,Minnesota,1930,2563953
1944,11,Minnesota,1940,2792300
1948,11,Minnesota,1940,2792300
1952,11,Minnesota,1950,2982483
1956,11,Minnesota,1950,2982483
1960,11,Minnesota,1950,2982483
1964,10,Minnesota,1960,3413864
1968,10,Minnesota,1960,3413864
1972,10,Minnesota,1970,3804971
1976,10,Minnesota,1970,3804971
1980,10,Minnesota,1970,3804971
1984,10,Minnesota,1980,4075970
1988,10,Minnesota,1980,4075970
1992,10,Minnesota,1990,4375099
1996,10,Minnesota,1990,4375099
2000,10,Minnesota,1990,4375099
2004,10,Minnesota,2000,4919479
2008,10,Minnesota,2000,4919479
2012,10,Minnesota,2010,5303925
2016,10,Minnesota,2010,5303925
2020,10,Minnesota,2010,5303925
1792,0,Mississippi,1790,0
1796,0,Mississippi,1790,0
1800,0,Mississippi,1790,0
1804,0,Mississippi,1800,7600
1808,0,Mississippi,1800,7600
1812,0,Mississippi,1810,31306
1816,0,Mississippi,1810,31306
1820,3,Mississippi,1810,31306
1824,3,Mississippi,1820,75448
1828,3,Mississippi,1820,75448
1832,4,Mississippi,1830,136621
1836,4,Mississippi,1830,136621
1840,4,Mississippi,1830,136621
1844,6,Mississippi,1840,375651
1848,6,Mississippi,1840,375651
1852,7,Mississippi,1850,606526
1856,7,Mississippi,1850,606526
1860,7,Mississippi,1850,606526
1864,0,Mississippi,1860,791305
1868,0,Mississippi,1860,791305
1872,8,Mississippi,1870,827922
1876,8,Mississippi,1870,827922
1880,8,Mississippi,1870,827922
1884,9,Mississippi,1880,1131597
1888,9,Mississippi,1880,1131597
1892,9,Mississippi,1890,1289600
1896,9,Mississippi,1890,1289600
1900,9,Mississippi,1890,1289600
1904,10,Mississippi,1900,1551270
1908,10,Mississippi,1900,1551270
1912,10,Mississippi,1910,1797114
1916,10,Mississippi,1910,1797114
1920,10,Mississippi,1910,1797114
1924,10,Mississippi,1920,1790618
1928,10,Mississippi,1920,1790618
1932,9,Mississippi,1930,2009821
1936,9,Mississippi,1930,2009821
1940,9,Mississippi,1930,2009821
1944,9,Mississippi,1940,2183796
1948,9,Mississippi,1940,2183796
1952,8,Mississippi,1950,2178914
1956,8,Mississippi,1950,2178914
1960,8,Mississippi,1950,2178914
1964,7,Mississippi,1960,2178141
1968,7,Mississippi,1960,2178141
1972,7,Mississippi,1970,2216912
1976,7,Mississippi,1970,2216912
1980,7,Mississippi,1970,2216912
1984,7,Mississippi,1980,2520638
1988,7,Mississippi,1980,2520638
1992,7,Mississippi,1990,2573216
1996,7,Mississippi,1990,2573216
2000,7,Mississippi,1990,2573216
2004,6,Mississippi,2000,2844658
2008,6,Mississippi,2000,2844658
2012,6,Mississippi,2010,2967297
2016,6,Mississippi,2010,2967297
2020,6,Mississippi,2010,2967297
1792,0,Missouri,1790,0
1796,0,Missouri,1790,0
1800,0,Missouri,1790,0
1804,0,Missouri,1800,0
1808,0,Missouri,1800,0
1812,0,Missouri,1810,19783
1816,0,Missouri,1810,19783
1820,3,Missouri,1810,19783
1824,3,Missouri,1820,66586
1828,3,Missouri,1820,66586
1832,4,Missouri,1830,140455
1836,4,Missouri,1830,140455
1840,4,Missouri,1830,140455
1844,7,Missouri,1840,383702
1848,7,Missouri,1840,383702
1852,9,Missouri,1850,682044
1856,9,Missouri,1850,682044
1860,9,Missouri,1850,682044
1864,11,Missouri,1860,1182012
1868,11,Missouri,1860,1182012
1872,15,Missouri,1870,1721295
1876,15,Missouri,1870,1721295
1880,15,Missouri,1870,1721295
1884,16,Missouri,1880,2168380
1888,16,Missouri,1880,2168380
1892,17,Missouri,1890,2679184
1896,17,Missouri,1890,2679184
1900,17,Missouri,1890,2679184
1904,18,Missouri,1900,3106665
1908,18,Missouri,1900,3106665
1912,18,Missouri,1910,3293335
1916,18,Missouri,1910,3293335
1920,18,Missouri,1910,3293335
1924,18,Missouri,1920,3404055
1928,18,Missouri,1920,3404055
1932,15,Missouri,1930,3629367
1936,15,Missouri,1930,3629367
1940,15,Missouri,1930,3629367
1944,15,Missouri,1940,3784664
1948,15,Missouri,1940,3784664
1952,13,Missouri,1950,3954653
1956,13,Missouri,1950,3954653
1960,13,Missouri,1950,3954653
1964,12,Missouri,1960,4319813
1968,12,Missouri,1960,4319813
1972,12,Missouri,1970,4676501
1976,12,Missouri,1970,4676501
1980,12,Missouri,1970,4676501
1984,11,Missouri,1980,4916686
1988,11,Missouri,1980,4916686
1992,11,Missouri,1990,5117073
1996,11,Missouri,1990,5117073
2000,11,Missouri,1990,5117073
2004,11,Missouri,2000,5595211
2008,11,Missouri,2000,5595211
2012,10,Missouri,2010,5988927
2016,10,Missouri,2010,5988927
2020,10,Missouri,2010,5988927
1792,0,Montana,1790,0
1796,0,Montana,1790,0
1800,0,Montana,1790,0
1804,0,Montana,1800,0
1808,0,Montana,1800,0
1812,0,Montana,1810,0
1816,0,Montana,1810,0
1820,0,Montana,1810,0
1824,0,Montana,1820,0
1828,0,Montana,1820,0
1832,0,Montana,1830,0
1836,0,Montana,1830,0
1840,0,Montana,1830,0
1844,0,Montana,1840,0
1848,0,Montana,1840,0
1852,0,Montana,1850,0
1856,0,Montana,1850,0
1860,0,Montana,1850,0
1864,0,Montana,1860,0
1868,0,Montana,1860,0
1872,0,Montana,1870,20595
1876,0,Montana,1870,20595
1880,0,Montana,1870,20595
1884,0,Montana,1880,39159
1888,0,Montana,1880,39159
1892,3,Montana,1890,142924
1896,3,Montana,1890,142924
1900,3,Montana,1890,142924
1904,3,Montana,1900,243329
1908,3,Montana,1900,243329
1912,4,Montana,1910,376053
1916,4,Montana,1910,376053
1920,4,Montana,1910,376053
1924,4,Montana,1920,548889
1928,4,Montana,1920,548889
1932,4,Montana,1930,537606
1936,4,Montana,1930,537606
1940,4,Montana,1930,537606
1944,4,Montana,1940,559456
1948,4,Montana,1940,559456
1952,4,Montana,1950,591024
1956,4,Montana,1950,591024
1960,4,Montana,1950,591024
1964,4,Montana,1960,674767
1968,4,Montana,1960,674767
1972,4,Montana,1970,694409
1976,4,Montana,1970,694409
1980,4,Montana,1970,694409
1984,4,Montana,1980,786690
1988,4,Montana,1980,786690
1992,3,Montana,1990,799065
1996,3,Montana,1990,799065
2000,3,Montana,1990,799065
2004,3,Montana,2000,902195
2008,3,Montana,2000,902195
2012,3,Montana,2010,989415
2016,3,Montana,2010,989415
2020,3,Montana,2010,989415
1792,0,Nebraska,1790,0
1796,0,Nebraska,1790,0
1800,0,Nebraska,1790,0
1804,0,Nebraska,1800,0
1808,0,Nebraska,1800,0
1812,0,Nebraska,1810,0
1816,0,Nebraska,1810,0
1820,0,Nebraska,1810,0
1824,0,Nebraska,1820,0
1828,0,Nebraska,1820,0
1832,0,Nebraska,1830,0
1836,0,Nebraska,1830,0
1840,0,Nebraska,1830,0
1844,0,Nebraska,1840,0
1848,0,Nebraska,1840,0
1852,0,Nebraska,1850,0
1856,0,Nebraska,1850,0
1860,0,Nebraska,1850,0
1864,0,Nebraska,1860,28841
1868,3,Nebraska,1860,28841
1872,3,Nebraska,1870,122993
1876,3,Nebraska,1870,122993
1880,3,Nebraska,1870,122993
1884,5,Nebraska,1880,452402
1888,5,Nebraska,1880,452402
1892,8,Nebraska,1890,1062656
1896,8,Nebraska,1890,1062656
1900,8,Nebraska,1890,1062656
1904,8,Nebraska,1900,1066300
1908,8,Nebraska,1900,1066300
1912,8,Nebraska,1910,1192214
1916,8,Nebraska,1910,1192214
1920,8,Nebraska,1910,1192214
1924,8,Nebraska,1920,1296372
1928,8,Nebraska,1920,1296372
1932,7,Nebraska,1930,1377963
1936,7,Nebraska,1930,1377963
1940,7,Nebraska,1930,1377963
1944,6,Nebraska,1940,1315834
1948,6,Nebraska,1940,1315834
1952,6,Nebraska,1950,1325510
1956,6,Nebraska,1950,1325510
1960,6,Nebraska,1950,1325510
1964,5,Nebraska,1960,1411330
1968,5,Nebraska,1960,1411330
1972,5,Nebraska,1970,1483493
1976,5,Nebraska,1970,1483493
1980,5,Nebraska,1970,1483493
1984,5,Nebraska,1980,1569825
1988,5,Nebraska,1980,1569825
1992,5,Nebraska,1990,1578385
1996,5,Nebraska,1990,1578385
2000,5,Nebraska,1990,1578385
2004,5,Nebraska,2000,1711263
2008,5,Nebraska,2000,1711263
2012,5,Nebraska,2010,1826341
2016,5,Nebraska,2010,1826341
2020,5,Nebraska,2010,1826341
1792,0,Nevada,1790,0
1796,0,Nevada,1790,0
1800,0,Nevada,1790,0
1804,0,Nevada,1800,0
1808,0,Nevada,1800,0
1812,0,Nevada,1810,0
1816,0,Nevada,1810,0
1820,0,Nevada,1810,0
1824,0,Nevada,1820,0
1828,0,Nevada,1820,0
1832,0,Nevada,1830,0
1836,0,Nevada,1830,0
1840,0,Nevada,1830,0
1844,0,Nevada,1840,0
1848,0,Nevada,1840,0
1852,0,Nevada,1850,0
1856,0,Nevada,1850,0
1860,0,Nevada,1850,0
1864,3,Nevada,1860,6857
1868,3,Nevada,1860,6857
1872,3,Nevada,1870,42491
1876,3,Nevada,1870,42491
1880,3,Nevada,1870,42491
1884,3,Nevada,1880,62266
1888,3,Nevada,1880,62266
1892,3,Nevada,1890,47355
1896,3,Nevada,1890,47355
1900,3,Nevada,1890,47355
1904,3,Nevada,1900,42335
1908,3,Nevada,1900,42335
1912,3,Nevada,1910,81875
1916,3,Nevada,1910,81875
1920,3,Nevada,1910,81875
1924,3,Nevada,1920,77407
1928,3,Nevada,1920,77407
1932,3,Nevada,1930,91058
1936,3,Nevada,1930,91058
1940,3,Nevada,1930,91058
1944,3,Nevada,1940,110247
1948,3,Nevada,1940,110247
1952,3,Nevada,1950,160083
1956,3,Nevada,1950,160083
1960,3,Nevada,1950,160083
1964,3,Nevada,1960,285278
1968,3,Nevada,1960,285278
1972,3,Nevada,1970,488738
1976,3,Nevada,1970,488738
1980,3,Nevada,1970,488738
1984,4,Nevada,1980,800493
1988,4,Nevada,1980,800493
1992,4,Nevada,1990,1201833
1996,4,Nevada,1990,1201833
2000,4,Nevada,1990,1201833
2004,5,Nevada,2000,1998257
2008,5,Nevada,2000,1998257
2012,6,Nevada,2010,2700551
2016,6,Nevada,2010,2700551
2020,6,Nevada,2010,2700551
1792,6,New Hampshire,1790,141885
1796,6,New Hampshire,1790,141885
1800,6,New Hampshire,1790,141885
1804,7,New Hampshire,1800,183858
1808,7,New Hampshire,1800,183858
1812,8,New Hampshire,1810,214360
1816,8,New Hampshire,1810,214360
1820,8,New Hampshire,1810,214360
1824,8,New Hampshire,1820,244161
1828,8,New Hampshire,1820,244161
1832,7,New Hampshire,1830,269328
1836,7,New Hampshire,1830,269328
1840,7,New Hampshire,1830,269328
1844,6,New Hampshire,1840,284574
1848,6,New Hampshire,1840,284574
1852,5,New Hampshire,1850,317976
1856,5,New Hampshire,1850,317976
1860,5,New Hampshire,1850,317976
1864,5,New Hampshire,1860,326073
1868,5,New Hampshire,1860,326073
1872,5,New Hampshire,1870,318300
1876,5,New Hampshire,1870,318300
1880,5,New Hampshire,1870,318300
1884,4,New Hampshire,1880,346991
1888,4,New Hampshire,1880,346991
1892,4,New Hampshire,1890,376530
1896,4,New Hampshire,1890,376530
1900,4,New Hampshire,1890,376530
1904,4,New Hampshire,1900,411588
1908,4,New Hampshire,1900,411588
1912,4,New Hampshire,1910,430572
1916,4,New Hampshire,1910,430572
1920,4,New Hampshire,1910,430572
1924,4,New Hampshire,1920,443083
1928,4,New Hampshire,1920,443083
1932,4,New Hampshire,1930,465293
1936,4,New Hampshire,1930,465293
1940,4,New Hampshire,1930,465293
1944,4,New Hampshire,1940,491524
1948,4,New Hampshire,1940,491524
1952,4,New Hampshire,1950,533242
1956,4,New Hampshire,1950,533242
1960,4,New Hampshire,1950,533242
1964,4,New Hampshire,1960,606921
1968,4,New Hampshire,1960,606921
1972,4,New Hampshire,1970,737681
1976,4,New Hampshire,1970,737681
1980,4,New Hampshire,1970,737681
1984,4,New Hampshire,1980,920610
1988,4,New Hampshire,1980,920610
1992,4,New Hampshire,1990,1109252
1996,4,New Hampshire,1990,1109252
2000,4,New Hampshire,1990,1109252
2004,4,New Hampshire,2000,1235786
2008,4,New Hampshire,2000,1235786
2012,4,New Hampshire,2010,1316470
2016,4,New Hampshire,2010,1316470
2020,4,New Hampshire,2010,1316470
1792,7,New Jersey,1790,184139
1796,7,New Jersey,1790,184139
1800,7,New Jersey,1790,184139
1804,8,New Jersey,1800,211149
1808,8,New Jersey,1800,211149
1812,8,New Jersey,1810,245555
1816,8,New Jersey,1810,245555
1820,8,New Jersey,1810,245555
1824,8,New Jersey,1820,277575
1828,8,New Jersey,1820,277575
1832,8,New Jersey,1830,320823
1836,8,New Jersey,1830,320823
1840,8,New Jersey,1830,320823
1844,7,New Jersey,1840,373306
1848,7,New Jersey,1840,373306
1852,7,New Jersey,1850,489555
1856,7,New Jersey,1850,489555
1860,7,New Jersey,1850,489555
1864,7,New Jersey,1860,672035
1868,7,New Jersey,1860,672035
1872,9,New Jersey,1870,906096
1876,9,New Jersey,1870,906096
1880,9,New Jersey,1870,906096
1884,9,New Jersey,1880,1131116
1888,9,New Jersey,1880,1131116
1892,10,New Jersey,1890,1444933
1896,10,New Jersey,1890,1444933
1900,10,New Jersey,1890,1444933
1904,12,New Jersey,1900,1883669
1908,12,New Jersey,1900,1883669
1912,14,New Jersey,1910,2537167
1916,14,New Jersey,1910,2537167
1920,14,New Jersey,1910,2537167
1924,14,New Jersey,1920,3155900
1928,14,New Jersey,1920,3155900
1932,16,New Jersey,1930,4041334
1936,16,New Jersey,1930,4041334
1940,16,New Jersey,1930,4041334
1944,16,New Jersey,1940,4160165
1948,16,New Jersey,1940,4160165
1952,16,New Jersey,1950,4835329
1956,16,New Jersey,1950,4835329
1960,16,New Jersey,1950,4835329
1964,17,New Jersey,1960,6066782
1968,17,New Jersey,1960,6066782
1972,17,New Jersey,1970,7168164
1976,17,New Jersey,1970,7168164
1980,17,New Jersey,1970,7168164
1984,16,New Jersey,1980,7364823
1988,16,New Jersey,1980,7364823
1992,15,New Jersey,1990,7730188
1996,15,New Jersey,1990,7730188
2000,15,New Jersey,1990,7730188
2004,15,New Jersey,2000,8414350
2008,15,New Jersey,2000,8414350
2012,14,New Jersey,2010,8791894
2016,14,New Jersey,2010,8791894
2020,14,New Jersey,2010,8791894
1792,0,New Mexico,1790,0
1796,0,New Mexico,1790,0
1800,0,New Mexico,1790,0
1804,0,New Mexico,1800,0
1808,0,New Mexico,1800,0
1812,0,New Mexico,1810,0
1816,0,New Mexico,1810,0
1820,0,New Mexico,1810,0
1824,0,New Mexico,1820,0
